Title,Year,Director,Link,Rating,Wins,Nominations,Genres
The Forty-Year-Old Version,2020,Radha Blank,https://www.imdb.com/title/tt10642834/,7.2,23.0,43.0,"['Comedy', 'Drama']"
Totally Under Control,2020,Alex Gibney,https://www.imdb.com/title/tt13065386/,7.6,2.0,8.0,['Documentary']
Miss Juneteenth,2020,Channing Godfrey Peoples,https://www.imdb.com/title/tt11394158/,6.5,9.0,34.0,['Drama']
Kajillionaire,2020,Miranda July,https://www.imdb.com/title/tt8143990/,6.4,4.0,9.0,"['Coming-of-Age', 'Quirky Comedy', 'Comedy', 'Crime', 'Drama']"
Never Rarely Sometimes Always,2020,Eliza Hittman,https://www.imdb.com/title/tt7772582/,7.4,30.0,119.0,"['Coming-of-Age', 'Drama']"
Athlete A,2020,Bonni Cohen,https://www.imdb.com/title/tt11905462/,7.6,4.0,10.0,"['Crime Documentary', 'Sports Documentary', 'Crime', 'Documentary', 'Sport']"
Mucho Mucho Amor: The Legend of Walter Mercado,2020,Cristina Constantini,https://www.imdb.com/title/tt11378264/,7.3,4.0,9.0,"['Biography', 'Documentary']"
All In: The Fight for Democracy,2020,Lisa Cortes,https://www.imdb.com/title/tt12538822/,6.9,6.0,16.0,"['Political Documentary', 'Documentary']"
Dick Johnson Is Dead,2020,Kirsten Johnson,https://www.imdb.com/title/tt11394180/,7.4,19.0,42.0,"['Biography', 'Documentary', 'Drama']"
Relic,2020,Natalie Erika James,https://www.imdb.com/title/tt9072352/,6.0,5.0,29.0,"['Psychological Drama', 'Supernatural Horror', 'Drama', 'Horror', 'Mystery', 'Thriller']"
One Night in Miami,2020,Regina King,https://www.imdb.com/title/tt10612922/,7.1,70.0,185.0,['Drama']
Les Nôtres,2020,Jeanne Leblanc,https://www.imdb.com/title/tt8724130/,6.4,3.0,7.0,['Drama']
Beginning,2020,Dea Kulumbegashvili,https://www.imdb.com/title/tt12444572/,6.6,12.0,16.0,['Drama']
Beans,2020,Tracey Deer,https://www.imdb.com/title/tt11735544/,7.0,16.0,21.0,['Drama']
Truman & Tennessee: An Intimate Conversation,2020,Lisa Immordino Vreeland,https://www.imdb.com/title/tt13016030/,7.2,,,['Documentary']
Holler,2020,Nicole Riegel,https://www.imdb.com/title/tt6763778/,6.2,4.0,5.0,"['Coming-of-Age', 'Teen Drama', 'Drama']"
My Octopus Teacher,2020,Pippa Ehrlich,https://www.imdb.com/title/tt12888462/,8.1,11.0,16.0,"['Nature Documentary', 'Documentary', 'Drama']"
True Mothers,2020,Naomi Kawase,https://www.imdb.com/title/tt10418630/,7.0,5.0,14.0,['Drama']
Wildfire,2020,Cathy Brady,https://www.imdb.com/title/tt9180460/,6.2,3.0,7.0,['Drama']
Wildland,2020,Jeanette Nordahl,https://www.imdb.com/title/tt8386958/,5.8,2.0,19.0,"['Crime', 'Drama', 'Thriller']"
Lucky,2020,Natasha Kermani,https://www.imdb.com/title/tt11701774/,4.9,,,"['Drama', 'Fantasy', 'Horror', 'Thriller']"
Never Gonna Snow Again,2020,Małgorzata Szumowska,https://www.imdb.com/title/tt9526784/,6.4,3.0,23.0,"['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'Mystery']"
